caller_file,caller,callee_file,callee,count,cross_file
scheduler.c,xschem,editprop.c,my_snprintf,125,1
callback.c,waves_callback,token.c,subst_token,69,1
scheduler.c,xschem,editprop.c,my_itoa,69,1
callback.c,waves_callback,editprop.c,my_strdup,67,1
callback.c,waves_callback,editprop.c,dtoa,64,1
callback.c,handle_key_press,scheduler.c,tcleval,60,1
xinit.c,Tcl_AppInit,editprop.c,my_snprintf,59,1
scheduler.c,xschem,scheduler.c,tcleval,52,0
xinit.c,Tcl_AppInit,scheduler.c,tcleval,48,1
xinit.c,free_xschem_data,editprop.c,my_free,43,1
scheduler.c,xschem,move.c,move_objects,40,1
callback.c,handle_key_press,move.c,move_objects,39,1
scheduler.c,xschem,editprop.c,my_free,38,1
scheduler.c,xschem,editprop.c,my_strncpy,37,1
scheduler.c,xschem,editprop.c,dbg,35,1
save.c,load_sym_def,editprop.c,my_free,33,1
token.c,translate,editprop.c,dbg,33,1
xinit.c,alloc_xschem_data,editprop.c,my_calloc,32,1
xinit.c,Tcl_AppInit,scheduler.c,tclgetvar,32,1
in_memory_undo.c,free_undo_symbols,editprop.c,my_free,31,1
scheduler.c,xschem,draw.c,draw,31,1
xinit.c,Tcl_AppInit,editprop.c,dbg,31,1
actions.c,remove_symbol,editprop.c,my_free,30,1
scheduler.c,xschem,token.c,get_tok_value,28,1
draw.c,setup_graph_data,token.c,get_tok_value,27,1
options.c,check_opt,editprop.c,dbg,27,1
save.c,load_sym_def,editprop.c,dbg,27,1
save.c,load_sym_def,token.c,get_tok_value,27,1
scheduler.c,xschem,scheduler.c,tclresult,27,0
actions.c,clear_drawing,editprop.c,my_free,26,1
callback.c,handle_key_press,draw.c,draw,26,1
token.c,translate,editprop.c,my_snprintf,26,1
scheduler.c,xschem,editprop.c,my_strdup2,25,1
scheduler.c,xschem,scheduler.c,tclgetboolvar,25,0
token.c,print_tedax_element,editprop.c,my_free,24,1
xinit.c,Tcl_AppInit,scheduler.c,tclsetvar,24,1
callback.c,handle_key_press,callback.c,waves_selected,23,0
callback.c,handle_key_press,callback.c,waves_callback,23,0
save.c,read_dataset,editprop.c,dbg,23,1
scheduler.c,xschem,move.c,rebuild_selected_array,22,1
scheduler.c,xschem,actions.c,set_modify,22,1
scheduler.c,xschem,save.c,extra_rawfile,22,1
scheduler.c,xschem,scheduler.c,get_instance,22,0
vhdl_netlist.c,global_vhdl_netlist,editprop.c,my_strdup,22,1
token.c,translate,editprop.c,my_free,21,1
callback.c,handle_key_press,scheduler.c,tclgetboolvar,20,1
token.c,print_vhdl_primitive,editprop.c,my_mstrcat,20,1
token.c,print_verilog_primitive,editprop.c,my_mstrcat,20,1
verilog_netlist.c,global_verilog_netlist,editprop.c,my_strdup,20,1
scheduler.c,xschem,editprop.c,my_strdup,19,1
token.c,print_spice_element,editprop.c,my_mstrcat,19,1
token.c,print_tedax_element,token.c,get_tok_value,19,0
verilog_netlist.c,verilog_block_netlist,token.c,get_tok_value,19,1
draw.c,graph_fullyzoom,editprop.c,my_free,18,1
save.c,load_sym_def,save.c,load_ascii_string,18,0
scheduler.c,xschem,save.c,push_undo,18,1
token.c,print_spectre_element,editprop.c,my_mstrcat,18,1
callback.c,handle_key_press,scheduler.c,tclsetvar,17,1
save.c,load_sym_def,save.c,read_line,17,0
scheduler.c,xschem,select.c,bbox,17,1
token.c,print_spice_element,editprop.c,my_free,17,1
token.c,print_tedax_element,editprop.c,my_strdup,17,1
token.c,print_verilog_element,token.c,get_tok_value,17,0
vhdl_netlist.c,vhdl_block_netlist,token.c,get_tok_value,17,1
callback.c,handle_key_press,scheduler.c,tclvareval,16,1
editprop.c,edit_property,scheduler.c,tclsetvar,16,1
editprop.c,edit_property,scheduler.c,tclgetvar,16,1
scheduler.c,xschem,select.c,unselect_all,16,1
token.c,print_spectre_element,editprop.c,my_free,16,1
xinit.c,Tcl_AppInit,editprop.c,my_strncpy,16,1
callback.c,update_statusbar,scheduler.c,tclvareval,15,1
draw.c,draw_graph,editprop.c,my_free,15,1
save.c,extra_rawfile,editprop.c,dbg,15,1
scheduler.c,xschem,editprop.c,my_mstrcat,15,1
scheduler.c,xschem,xinit.c,resetwin,15,1
vhdl_netlist.c,global_vhdl_netlist,token.c,get_tok_value,15,1
actions.c,set_modify,scheduler.c,tclvareval,14,1
actions.c,get_additional_symbols,editprop.c,my_strdup,14,1
actions.c,descend_schematic,editprop.c,dbg,14,1
