name,file,line,static
here,actions.c,28,0
hash_file,actions.c,40,0
there_are_floaters,actions.c,87,0
get_text_floater,actions.c,100,0
set_modify,actions.c,154,0
print_version,actions.c,225,0
escape_chars,actions.c,234,0
set_snap,actions.c,295,0
set_grid,actions.c,317,0
set_netlist_dir,actions.c,351,0
sanitized_abs_sym_path,actions.c,365,0
abs_sym_path,actions.c,375,0
rel_sym_path,actions.c,385,0
add_ext,actions.c,393,0
toggle_only_probes,actions.c,417,0
new_xschem_process,actions.c,424,0
new_xschem_process,actions.c,477,0
get_file_path,actions.c,528,0
save,actions.c,546,0
saveas,actions.c,577,0
ask_new_file,actions.c,609,0
remove_symbol,actions.c,667,0
remove_symbols,actions.c,755,0
set_rect_flags,actions.c,777,0
set_sym_flags,actions.c,798,0
set_wire_flags,actions.c,855,0
set_inst_flags,actions.c,889,0
set_text_flags,actions.c,954,0
reset_caches,actions.c,991,0
set_rect_extraptr,actions.c,1010,0
clear_drawing,actions.c,1037,0
enable_layers,actions.c,1107,0
clear_partial_selected_wires,actions.c,1129,0
connect_by_kissing,actions.c,1143,0
unselect_partial_sel_wires,actions.c,1272,0
attach_labels_to_inst,actions.c,1342,0
delete_files,actions.c,1516,0
place_net_label,actions.c,1530,0
place_symbol,actions.c,1556,0
symbol_in_new_window,actions.c,1738,0
copy_hierarchy_data,actions.c,1762,0
schematic_in_new_window,actions.c,1838,0
launcher,actions.c,1885,0
get_sym_name,actions.c,1951,0
copy_symbol,actions.c,1991,0
toggle_ignore,actions.c,2084,0
get_additional_symbols,actions.c,2166,0
get_sch_from_sym,actions.c,2315,0
change_sch_path,actions.c,2429,0
descend_schematic,actions.c,2479,0
go_back,actions.c,2672,0
clear_schematic,actions.c,2751,0
change_to_unix_fn,actions.c,2801,0
calc_drawing_bbox,actions.c,2814,0
zoom_full,actions.c,2976,0
view_zoom,actions.c,3025,0
view_unzoom,actions.c,3040,0
set_viewport_size,actions.c,3061,0
save_restore_zoom,actions.c,3076,0
zoom_box,actions.c,3108,0
zoom_rectangle,actions.c,3124,0
draw_stuff,actions.c,3172,0
restore_selection,actions.c,3242,1
new_wire,actions.c,3257,0
change_layer,actions.c,3338,0
new_arc,actions.c,3398,0
new_line,actions.c,3460,0
new_rect,actions.c,3531,0
new_polygon,actions.c,3573,0
text_bbox,actions.c,3654,0
my_round,actions.c,3799,0
round_to_n_digits,actions.c,3805,0
floor_to_n_digits,actions.c,3813,0
ceil_to_n_digits,actions.c,3821,0
create_text,actions.c,3831,0
place_text,actions.c,3900,0
pan,actions.c,3933,0
fix_restore_rect,actions.c,3959,0
select_rect,actions.c,3989,0
