menu,type,label,accel,var,command,line
(top),cascade,File,,,,10185
(top),cascade,Edit,,,,10187
(top),cascade,Options,,,,10189
(top),cascade,View,,,,10191
(top),cascade,Properties,,,,10193
(top),cascade,Layers,,,,10196
(top),cascade,Tools,,,,10198
(top),cascade,Symbol,,,,10200
(top),cascade,Highlight,,,,10202
(top),cascade,Simulation,,,,10204
(top),cascade,Help,,,,10206
(top),command,-,,,,10448
(top),command,Netlist,,,xschem netlist -erc,10449
(top),command,Simulate,,,simulate_from_button,10452
(top),cascade,Waves,,,,10457
edit,command,Undo,U,,xschem undo; xschem redraw,10413
edit,command,Redo,Shift+U,,xschem redo; xschem redraw,10414
edit,command,Copy,Ctrl+C,,xschem copy,10415
edit,command,Cut,Ctrl+X,,xschem cut,10416
edit,command,Paste,Ctrl+V,,xschem paste,10417
edit,command,Delete,Del,,xschem delete,10418
edit,command,Select all,Ctrl+A,,xschem select_all,10419
edit,command,Duplicate objects,C,,xschem copy_objects,10420
edit,command,Move objects,M,,xschem move_objects,10421
edit,command,Move objects stretching attached wires,Control+M,,xschem move_objects stretch,10422
edit,command,Move objects adding wires to connected pins,Shift+M,,xschem move_objects kissing,10424
edit,command,Horizontal Flip in place selected objects,Alt-F,,xschem flip_in_place,10426
edit,command,Vertical Flip in place selected objects,Alt-V,,xschem flipv_in_place,10428
edit,command,Rotate in place selected objects,Alt-R,,xschem rotate_in_place,10430
edit,command,Vertical Flip selected objects,Shift-V,,xschem flipv,10432
edit,command,Horizontal Flip selected objects,Shift-F,,xschem flip,10434
edit,command,Rotate selected objects,Shift-R,,xschem rotate,10436
edit,radiobutton,Unconstrained move,,constr_mv,xschem set constr_mv 0,10438
edit,radiobutton,Constrained Horizontal move,H,constr_mv,xschem set constr_mv 1,10440
edit,radiobutton,Constrained Vertical move,V,constr_mv,xschem set constr_mv 2,10442
edit,command,Push schematic,E,,xschem descend,10444
edit,command,Push symbol,I,,xschem descend_symbol,10445
edit,command,Pop,Ctrl+E,,xschem go_back,10446
file,command,Clear Schematic,Ctrl+N,,xschem clear schematic,10225
file,command,Clear Symbol,Ctrl+Shift+N,,xschem clear symbol,10229
file,command,Component browser,"Shift-Ins, Ctrl-I",,if {$new_file_browser} { file_chooser } else { load_file_dialog {Insert symbol} *.sym INITIALINSTDIR 2 },10233
